Entity,Code,Year,Annual COâ‚‚ emissions (per capita),time
Afghanistan,AFG,2024,0.25384834,2024
Albania,ALB,2024,1.5919901,2024
Algeria,DZA,2024,4.233817,2024
Andorra,AND,2024,5.1816607,2024
Angola,AGO,2024,0.5894967,2024
Antigua and Barbuda,ATG,2024,7.092406,2024
Argentina,ARG,2024,3.7434063,2024
Armenia,ARM,2024,2.498691,2024
Australia,AUS,2024,14.477199,2024
Austria,AUT,2024,6.180112,2024
Azerbaijan,AZE,2024,3.8533201,2024
Bahamas,BHS,2024,7.64968,2024
Bahrain,BHR,2024,24.270082,2024
Bangladesh,BGD,2024,0.6240862,2024
Barbados,BRB,2024,4.8328743,2024
Belarus,BLR,2024,6.163221,2024
Belgium,BEL,2024,7.2798314,2024
Belize,BLZ,2024,1.9085852,2024
Benin,BEN,2024,0.4194466,2024
Bhutan,BTN,2024,2.0939395,2024
Bolivia,BOL,2024,2.3127308,2024
Bosnia and Herzegovina,BIH,2024,6.1391783,2024
Botswana,BWA,2024,2.9596071,2024
Brazil,BRA,2024,2.2783718,2024
Brunei,BRN,2024,26.046202,2024
Bulgaria,BGR,2024,4.6793866,2024
Burkina Faso,BFA,2024,0.27634817,2024
Burundi,BDI,2024,0.065253265,2024
Cambodia,KHM,2024,1.2405994,2024
Cameroon,CMR,2024,0.33071235,2024
Canada,CAN,2024,13.419917,2024
Cape Verde,CPV,2024,1.1312839,2024
Central African Republic,CAF,2024,0.07403937,2024
Chad,TCD,2024,0.13948385,2024
Chile,CHL,2024,3.983124,2024
China,CHN,2024,8.65839,2024
Colombia,COL,2024,1.752047,2024
Comoros,COM,2024,0.6365447,2024
Congo,COG,2024,1.3958335,2024
Costa Rica,CRI,2024,1.7077205,2024
Cote d'Ivoire,CIV,2024,0.46434766,2024
Croatia,HRV,2024,4.764723,2024
Cuba,CUB,2024,2.225931,2024
Cyprus,CYP,2024,5.373922,2024
Czechia,CZE,2024,7.043965,2024
Democratic Republic of Congo,COD,2024,0.05403233,2024
Denmark,DNK,2024,4.746057,2024
Djibouti,DJI,2024,0.48264864,2024
Dominica,DMA,2024,2.5799234,2024
Dominican Republic,DOM,2024,2.8992038,2024
East Timor,TLS,2024,0.47700548,2024
Ecuador,ECU,2024,2.535337,2024
Egypt,EGY,2024,2.2170217,2024
El Salvador,SLV,2024,1.4155904,2024
Equatorial Guinea,GNQ,2024,3.704236,2024
Eritrea,ERI,2024,0.21004777,2024
Estonia,EST,2024,6.105464,2024
Eswatini,SWZ,2024,0.8405372,2024
Ethiopia,ETH,2024,0.13506985,2024
Fiji,FJI,2024,1.5561111,2024
Finland,FIN,2024,5.300579,2024
France,FRA,2024,3.969368,2024
Gabon,GAB,2024,2.126386,2024
Gambia,GMB,2024,0.29086024,2024
Georgia,GEO,2024,3.0948753,2024
Germany,DEU,2024,6.7688236,2024
Ghana,GHA,2024,0.6106143,2024
Greece,GRC,2024,5.310692,2024
Greenland,GRL,2024,11.079819,2024
Grenada,GRD,2024,3.2159822,2024
Guatemala,GTM,2024,1.0800844,2024
Guinea,GIN,2024,0.27287328,2024
Guinea-Bissau,GNB,2024,0.15544437,2024
Guyana,GUY,2024,5.4269924,2024
Haiti,HTI,2024,0.2523404,2024
Honduras,HND,2024,1.187437,2024
Hungary,HUN,2024,4.135669,2024
Iceland,ISL,2024,9.666935,2024
India,IND,2024,2.2009783,2024
Indonesia,IDN,2024,2.8650963,2024
Iran,IRN,2024,8.656227,2024
Iraq,IRQ,2024,5.074398,2024
Ireland,IRL,2024,6.3388243,2024
Israel,ISR,2024,5.6074414,2024
Italy,ITA,2024,5.087886,2024
Jamaica,JAM,2024,2.9592197,2024
Japan,JPN,2024,7.7724743,2024
Jordan,JOR,2024,2.009813,2024
Kazakhstan,KAZ,2024,13.937352,2024
Kenya,KEN,2024,0.37611777,2024
Kiribati,KIR,2024,0.5386222,2024
Kosovo,OWID_KOS,2024,4.777991,2024
Kuwait,KWT,2024,26.24753,2024
Kyrgyzstan,KGZ,2024,1.6379259,2024
Laos,LAO,2024,3.140345,2024
Latvia,LVA,2024,3.4520962,2024
Lebanon,LBN,2024,2.6955004,2024
Lesotho,LSO,2024,1.100255,2024
Liberia,LBR,2024,0.15310843,2024
Libya,LBY,2024,8.841596,2024
Liechtenstein,LIE,2024,3.2992606,2024
Lithuania,LTU,2024,4.386505,2024
Luxembourg,LUX,2024,10.459649,2024
Madagascar,MDG,2024,0.14166704,2024
Malawi,MWI,2024,0.08688312,2024
Malaysia,MYS,2024,8.16206,2024
Maldives,MDV,2024,4.3694687,2024
Mali,MLI,2024,0.2850997,2024
Malta,MLT,2024,3.2037206,2024
Marshall Islands,MHL,2024,4.1115723,2024
Mauritania,MRT,2024,1.0134012,2024
Mauritius,MUS,2024,3.6766226,2024
Mexico,MEX,2024,3.5227275,2024
Micronesia (country),FSM,2024,1.3309593,2024
Moldova,MDA,2024,1.7551568,2024
Mongolia,MNG,2024,12.859549,2024
Montenegro,MNE,2024,3.7217364,2024
Morocco,MAR,2024,1.813556,2024
Mozambique,MOZ,2024,0.24869162,2024
Myanmar,MMR,2024,0.5798787,2024
Namibia,NAM,2024,1.1448735,2024
Nauru,NRU,2024,5.129512,2024
Nepal,NPL,2024,0.6332349,2024
Netherlands,NLD,2024,6.29691,2024
New Caledonia,NCL,2024,18.0644,2024
New Zealand,NZL,2024,6.229343,2024
Nicaragua,NIC,2024,0.8140884,2024
Niger,NER,2024,0.11726506,2024
Nigeria,NGA,2024,0.5837386,2024
North Korea,PRK,2024,2.3604918,2024
North Macedonia,MKD,2024,3.6311553,2024
Norway,NOR,2024,6.667616,2024
Oman,OMN,2024,15.651107,2024
Pakistan,PAK,2024,0.71556884,2024
Palau,PLW,2024,12.760258,2024
Palestine,PSE,2024,0.86981934,2024
Panama,PAN,2024,2.8046095,2024
Papua New Guinea,PNG,2024,0.7890545,2024
Paraguay,PRY,2024,1.1454097,2024
Peru,PER,2024,2.0529242,2024
Philippines,PHL,2024,1.5096035,2024
Poland,POL,2024,7.0801096,2024
Portugal,PRT,2024,3.4089074,2024
Qatar,QAT,2024,41.27118,2024
Romania,ROU,2024,3.605104,2024
Russia,RUS,2024,12.294705,2024
Rwanda,RWA,2024,0.14263947,2024
Saint Kitts and Nevis,KNA,2024,5.542429,2024
Saint Lucia,LCA,2024,2.9869597,2024
Saint Vincent and the Grenadines,VCT,2024,2.5405643,2024
Samoa,WSM,2024,1.1263857,2024
Sao Tome and Principe,STP,2024,0.6019113,2024
Saudi Arabia,SAU,2024,20.379194,2024
Senegal,SEN,2024,0.76163954,2024
Serbia,SRB,2024,6.237839,2024
Seychelles,SYC,2024,5.002998,2024
Sierra Leone,SLE,2024,0.165966,2024
Singapore,SGP,2024,9.244836,2024
Slovakia,SVK,2024,5.282773,2024
Slovenia,SVN,2024,6.0184274,2024
Solomon Islands,SLB,2024,0.3596751,2024
Somalia,SOM,2024,0.06939735,2024
South Africa,ZAF,2024,6.8715796,2024
South Korea,KOR,2024,11.285893,2024
South Sudan,SSD,2024,0.14196548,2024
Spain,ESP,2024,4.599015,2024
Sri Lanka,LKA,2024,0.90139973,2024
Sudan,SDN,2024,0.35272878,2024
Suriname,SUR,2024,4.7093143,2024
Sweden,SWE,2024,3.5916543,2024
Switzerland,CHE,2024,3.5946856,2024
Syria,SYR,2024,1.2879974,2024
Taiwan,TWN,2024,11.301164,2024
Tajikistan,TJK,2024,1.0140533,2024
Tanzania,TZA,2024,0.29198244,2024
Thailand,THA,2024,3.7361188,2024
Togo,TGO,2024,0.28938687,2024
Tonga,TON,2024,1.464028,2024
Trinidad and Tobago,TTO,2024,22.931944,2024
Tunisia,TUN,2024,2.6605377,2024
Turkey,TUR,2024,5.865009,2024
Turkmenistan,TKM,2024,10.808675,2024
Tuvalu,TUV,2024,1.1831627,2024
Uganda,UGA,2024,0.12663798,2024
Ukraine,UKR,2024,3.7637882,2024
United Arab Emirates,ARE,2024,20.131075,2024
United Kingdom,GBR,2024,4.5257993,2024
United States,USA,2024,14.197287,2024
Uruguay,URY,2024,2.35437,2024
Uzbekistan,UZB,2024,3.829127,2024
Vanuatu,VUT,2024,0.6012429,2024
Venezuela,VEN,2024,4.085203,2024
Vietnam,VNM,2024,3.6730351,2024
Yemen,YEM,2024,0.24944058,2024
Zambia,ZMB,2024,0.5650162,2024
Zimbabwe,ZWE,2024,0.82366556,2024