Entity,Code,Debt-GDP Ratio,time
Afghanistan,,8.8,2024
Albania,,54.1,2025
Algeria,,54,2025
Andorra,,31.7,2025
Angola,,62.4,2025
Antigua and Barbuda,ATG,65.7,2025
Argentina,,78.8,2025
Armenia,,53.4,2025
Aruba,,67.1,2025
Australia,,51,2025
Austria,,82,2025
Azerbaijan,,22.4,2025
Bahamas,BHS,74.1,2025
Bahrain,,142.5,2025
Bangladesh,,40.3,2025
Barbados,,99.8,2025
Belarus,,35.8,2025
Belgium,,107.5,2025
Belize,,64.7,2025
Benin,,50.7,2025
Bhutan,,105.6,2025
Bolivia,,93.7,2025
Bosnia and Herzegovina,BIH,30.6,2025
Botswana,,38.8,2025
Brazil,,91.4,2025
Brunei,BRN,2.3,2025
Bulgaria,,28.4,2025
Burkina Faso,,53.2,2025
Burundi,,40.3,2025
Cabo Verde,,106,2025
Cambodia,,27.8,2025
Cameroon,,37.9,2025
Canada,,113.9,2025
Central African Republic,CAF,57.1,2025
Chad,,31.5,2025
Chile,,42.7,2025
China,,96.3,2025
Colombia,,58.9,2025
Comoros,,30.2,2025
"Congo, Dem. Rep. of the",COD,19.1,2025
Congo,COG,93.1,2025
Costa Rica,,59.7,2025
Croatia,,57,2025
Cyprus,,57.7,2025
Czech Republic,,44,2025
Côte d'Ivoire,CIV,55.6,2025
Denmark,,29.6,2025
Djibouti,,30.5,2025
Dominica,,95.7,2025
Dominican Republic,,60,2025
Ecuador,,53.8,2024
Egypt,,87,2025
El Salvador,,87.6,2025
Equatorial Guinea,,36.6,2025
Estonia,,24.4,2025
Eswatini,,42.8,2025
Ethiopia,,46.7,2025
Fiji,,76.6,2025
Finland,,86.8,2025
France,,116.5,2025
Gabon,,76.2,2025
Gambia,GMB,74.4,2025
Georgia,,34.2,2025
Germany,,64.4,2025
Ghana,,59.1,2025
Greece,,146.7,2025
Grenada,,67.7,2025
Guatemala,,27,2025
Guinea,,42.2,2025
Guinea-Bissau,GNB,76.2,2025
Guyana,,29,2025
Haiti,,11.8,2025
Honduras,,45.1,2025
Hungary,,74.8,2025
Iceland,,47.4,2025
India,,81.4,2025
Indonesia,,40.8,2025
Iran,,35.6,2025
Iraq,,53.1,2025
Ireland,,33,2025
Israel,,69.2,2025
Italy,,136.8,2025
Jamaica,,59.2,2025
Japan,,229.6,2025
Jordan,,89.7,2025
Kazakhstan,,24.8,2025
Kenya,,68,2025
Kiribati,,8.7,2025
South Korea,KOR,53.4,2025
Kosovo,,17.6,2025
Kuwait,,7.3,2025
Kyrgyzstan,KGZ,37.8,2025
Laos,LAO,90.7,2025
Latvia,,47.1,2025
Lebanon,,163.8,2024
Lesotho,,57.1,2025
Liberia,,55.7,2025
Liechtenstein,,0.5,2025
Lithuania,,41.8,2025
Luxembourg,,27.1,2025
Madagascar,,49.7,2025
Malawi,,80.4,2025
Malaysia,,70.4,2025
Maldives,,131.8,2025
Mali,,48.9,2025
Malta,,46.9,2025
Marshall Islands,,10.6,2025
Mauritania,,41.2,2025
Mauritius,,88.1,2025
Mexico,,58.9,2025
Micronesia,FSM,9.3,2025
Moldova,,37.8,2025
Mongolia,,46.6,2025
Montenegro,,60.8,2025
Morocco,,67.2,2025
Mozambique,,97.2,2025
Myanmar,MMR,63.5,2025
Namibia,,63.6,2025
Nauru,,15,2025
Nepal,,49.3,2025
Netherlands,,44,2025
New Zealand,,53.2,2025
Nicaragua,,39.3,2025
Niger,,42.2,2025
Nigeria,,36.4,2025
North Macedonia,MKD,52.9,2025
Norway,,42.7,2025
Oman,,35.1,2025
Pakistan,,71.6,2025
Palau,,63.1,2025
Panama,,59.6,2025
Papua New Guinea,PNG,50.4,2025
Paraguay,,41.7,2025
Peru,,32.1,2025
Philippines,,58.2,2025
Poland,,60,2025
Portugal,,90.9,2025
Puerto Rico,,18,2025
Qatar,,40.6,2025
Romania,,61.2,2025
Russia,RUS,23.1,2025
Rwanda,,73.2,2025
Saint Kitts and Nevis,KNA,61.9,2025
Saint Lucia,LCA,77,2025
Saint Vincent and the Grenadines,VCT,94,2025
Samoa,,20.9,2025
San Marino,SMR,62.7,2025
Saudi Arabia,,29.2,2025
Senegal,,122.9,2025
Serbia,,43.9,2025
Seychelles,,56.7,2025
Sierra Leone,SLE,41.2,2025
Singapore,,175.6,2025
Slovakia,SVK,59.6,2025
Slovenia,,66.6,2025
Solomon Islands,SLB,23.7,2025
South Africa,,77.3,2025
South Sudan,SSD,66,2025
Spain,,100.4,2025
Sri Lanka,,100.8,2024
Sudan,,221.5,2025
Suriname,SUR,89.1,2025
Sweden,,34.2,2025
Switzerland,,36.9,2025
São Tomé and Príncipe,STP,51.4,2025
Taiwan,TWN,23.4,2025
Tajikistan,,22,2025
Tanzania,,49.6,2025
Thailand,,64.9,2025
Timor-Leste,TLS,13.9,2025
Togo,,71.9,2025
Tonga,,31.6,2025
Trinidad and Tobago,TTO,65.3,2025
Tunisia,,80.6,2025
Turkmenistan,,3.9,2025
Tuvalu,,3.6,2025
Türkiye,TUR,24.3,2025
Uganda,,52.4,2025
Ukraine,,108.6,2025
United Arab Emirates,ARE,34,2025
United Kingdom,GBR,103.4,2025
United States,USA,125,2025
Uruguay,,66.6,2025
Uzbekistan,,31.1,2025
Vanuatu,,48.6,2025
Venezuela,,164.3,2024
Vietnam,,32,2025
West Bank and Gaza,,65.6,2024
Yemen,,71.4,2025
Zambia,,114.9,2024
Zimbabwe,,45,2025