Entity,Code,Year,GDP per capita,900793-annotations,time
Afghanistan,AFG,2022,1357.9878,,2022
Albania,ALB,2022,12978.101,,2022
Algeria,DZA,2022,13506.444,,2022
Angola,AGO,2022,6118.905,,2022
Argentina,ARG,2022,18292.318,,2022
Armenia,ARM,2022,13837.577,,2022
Australia,AUS,2022,52049.43,,2022
Austria,AUT,2022,43792.855,,2022
Azerbaijan,AZE,2022,17682.94,,2022
Bahrain,BHR,2022,38651.6,,2022
Bangladesh,BGD,2022,4925.721,,2022
Barbados,BRB,2022,11545.848,,2022
Belarus,BLR,2022,18699.799,,2022
Belgium,BEL,2022,41872.395,,2022
Benin,BEN,2022,2477.0903,,2022
Bolivia,BOL,2022,6481.3906,,2022
Bosnia and Herzegovina,BIH,2022,12142.863,,2022
Botswana,BWA,2022,16351.91,,2022
Brazil,BRA,2022,14640.076,,2022
Bulgaria,BGR,2022,20592.455,,2022
Burkina Faso,BFA,2022,1704.966,,2022
Burundi,BDI,2022,717.22845,,2022
Cambodia,KHM,2022,3944.2468,,2022
Cameroon,CMR,2022,2812.2148,,2022
Canada,CAN,2022,45529.645,,2022
Cape Verde,CPV,2022,7202.767,,2022
Central African Republic,CAF,2022,596.393,,2022
Chad,TCD,2022,1393.5635,,2022
Chile,CHL,2022,22740.72,,2022
China,CHN,2022,19238.18,,2022
Colombia,COL,2022,14468.964,,2022
Comoros,COM,2022,1900.3983,,2022
Congo,COG,2022,4187.507,,2022
Costa Rica,CRI,2022,15496.82,,2022
Cote d'Ivoire,CIV,2022,4011.7122,,2022
Croatia,HRV,2022,26986.752,,2022
Cuba,CUB,2022,7648.704,,2022
Cyprus,CYP,2022,31523.498,,2022
Czechia,CZE,2022,32247.395,,2022
Democratic Republic of Congo,COD,2022,844.172,,2022
Denmark,DNK,2022,50689.68,,2022
Djibouti,DJI,2022,3623.0603,,2022
Dominica,DMA,2022,8879.6455,,2022
Dominican Republic,DOM,2022,17713.52,,2022
Ecuador,ECU,2022,10124.076,,2022
Egypt,EGY,2022,13205.406,,2022
El Salvador,SLV,2022,9218.905,,2022
Equatorial Guinea,GNQ,2022,22707.22,,2022
Estonia,EST,2022,30067.395,,2022
Eswatini,SWZ,2022,8522.45,,2022
Ethiopia,ETH,2022,2289.409,,2022
Finland,FIN,2022,40701.465,,2022
France,FRA,2022,39065.71,,2022
Gabon,GAB,2022,15720.901,,2022
Gambia,GMB,2022,2010.5322,,2022
Georgia,GEO,2022,14360.359,,2022
Germany,DEU,2022,46647.793,,2022
Ghana,GHA,2022,4242.4106,,2022
Greece,GRC,2022,25283.906,,2022
Guatemala,GTM,2022,7969.431,,2022
Guinea,GIN,2022,1809.2666,,2022
Guinea-Bissau,GNB,2022,1625.3876,,2022
Haiti,HTI,2022,1546.4222,,2022
Honduras,HND,2022,5186.5303,,2022
Hungary,HUN,2022,29451.855,,2022
Iceland,ISL,2022,42145.594,,2022
India,IND,2022,7765.593,,2022
Indonesia,IDN,2022,12801.671,,2022
Iran,IRN,2022,18473.066,,2022
Iraq,IRQ,2022,13071.94,,2022
Ireland,IRL,2022,60257.082,,2022
Israel,ISR,2022,36648.918,,2022
Italy,ITA,2022,36224.293,,2022
Jamaica,JAM,2022,7481.6685,,2022
Japan,JPN,2022,38268.79,,2022
Jordan,JOR,2022,9151.479,,2022
Kazakhstan,KAZ,2022,26491.857,,2022
Kenya,KEN,2022,3403.9238,,2022
Kuwait,KWT,2022,71533.516,,2022
Kyrgyzstan,KGZ,2022,5304.841,,2022
Laos,LAO,2022,7168.1904,,2022
Latvia,LVA,2022,27220.303,,2022
Lebanon,LBN,2022,10341.159,,2022
Lesotho,LSO,2022,2312.9583,,2022
Liberia,LBR,2022,811.2146,,2022
Libya,LBY,2022,12755.204,,2022
Lithuania,LTU,2022,30863.32,,2022
Luxembourg,LUX,2022,55484.777,,2022
Madagascar,MDG,2022,1367.0938,,2022
Malawi,MWI,2022,1190.0509,,2022
Malaysia,MYS,2022,26628.707,,2022
Mali,MLI,2022,1651.9413,,2022
Malta,MLT,2022,34496.34,,2022
Mauritania,MRT,2022,3680.3662,,2022
Mauritius,MUS,2022,20643.094,,2022
Mexico,MEX,2022,16235.455,,2022
Moldova,MDA,2022,6674.871,,2022
Mongolia,MNG,2022,13442.906,,2022
Montenegro,MNE,2022,20941.805,,2022
Morocco,MAR,2022,8400.127,,2022
Mozambique,MOZ,2022,1087.836,,2022
Myanmar,MMR,2022,5177.4326,,2022
Namibia,NAM,2022,7979.328,,2022
Nepal,NPL,2022,3013.5178,,2022
Netherlands,NLD,2022,49669.867,,2022
New Zealand,NZL,2022,38250.12,,2022
Nicaragua,NIC,2022,5092.8413,,2022
Niger,NER,2022,1007.72095,,2022
Nigeria,NGA,2022,5070.4927,,2022
North Korea,PRK,2022,1568.847,,2022
North Macedonia,MKD,2022,14050.995,,2022
Norway,NOR,2022,88366.22,,2022
Oman,OMN,2022,47988.65,,2022
Pakistan,PAK,2022,5531.723,,2022
Palestine,PSE,2022,4775.202,,2022
Panama,PAN,2022,23557.02,,2022
Paraguay,PRY,2022,8762.771,,2022
Peru,PER,2022,12762.967,,2022
Philippines,PHL,2022,8370.666,,2022
Poland,POL,2022,32468.402,,2022
Portugal,PRT,2022,28992.059,,2022
Puerto Rico,PRI,2022,35280.668,,2022
Qatar,QAT,2022,149171.11,,2022
Romania,ROU,2022,26197.904,,2022
Russia,RUS,2022,25437.107,,2022
Rwanda,RWA,2022,2198.0662,,2022
Saint Lucia,LCA,2022,10452.165,,2022
Sao Tome and Principe,STP,2022,3751.6428,,2022
Saudi Arabia,SAU,2022,53516.91,,2022
Senegal,SEN,2022,2660.6816,,2022
Serbia,SRB,2022,17097.686,,2022
Seychelles,SYC,2022,31055.39,,2022
Sierra Leone,SLE,2022,1690.4982,,2022
Singapore,SGP,2022,80320.086,,2022
Slovakia,SVK,2022,27519.287,,2022
Slovenia,SVN,2022,32673.762,,2022
South Africa,ZAF,2022,11415.887,,2022
South Korea,KOR,2022,41320.9,,2022
Spain,ESP,2022,34123.387,,2022
Sri Lanka,LKA,2022,10705.481,,2022
Sweden,SWE,2022,47126.13,,2022
Switzerland,CHE,2022,63323.254,,2022
Syria,SYR,2022,2494.7612,,2022
Taiwan,TWN,2022,53142.984,,2022
Tajikistan,TJK,2022,5507.5454,,2022
Tanzania,TZA,2022,3057.3286,,2022
Thailand,THA,2022,16421.072,,2022
Togo,TGO,2022,1586.5889,,2022
Trinidad and Tobago,TTO,2022,25773.006,,2022
Tunisia,TUN,2022,10913.846,,2022
Turkey,TUR,2022,27361.988,,2022
Turkmenistan,TKM,2022,17234.555,,2022
Uganda,UGA,2022,2122.0278,,2022
Ukraine,UKR,2022,7749.0996,,2022
United Arab Emirates,ARE,2022,77203.67,,2022
United Kingdom,GBR,2022,38406.53,,2022
United States,USA,2022,58487.465,,2022
Uruguay,URY,2022,20181.94,,2022
Uzbekistan,UZB,2022,12559.401,,2022
Venezuela,VEN,2022,5267.1753,,2022
Vietnam,VNM,2022,8050.359,,2022
Yemen,YEM,2022,1959.3195,,2022
Zambia,ZMB,2022,3342.4214,,2022
Zimbabwe,ZWE,2022,1703.5294,,2022