Entity,Code,Year,Share of adults who smoke or use tobacco (age-standardized),time
Afghanistan,AFG,2022,22.7,2022
Albania,ALB,2022,21.9,2022
Algeria,DZA,2022,21.2,2022
Andorra,AND,2022,36.3,2022
Argentina,ARG,2022,23.8,2022
Armenia,ARM,2022,24.9,2022
Australia,AUS,2022,13.1,2022
Austria,AUT,2022,24.9,2022
Azerbaijan,AZE,2022,19.6,2022
Bahamas,BHS,2022,11.3,2022
Bahrain,BHR,2022,15,2022
Bangladesh,BGD,2022,32.9,2022
Barbados,BRB,2022,7,2022
Belarus,BLR,2022,30.1,2022
Belgium,BEL,2022,26.7,2022
Belize,BLZ,2022,8.8,2022
Benin,BEN,2022,6.3,2022
Bhutan,BTN,2022,18.7,2022
Bolivia,BOL,2022,12.4,2022
Bosnia and Herzegovina,BIH,2022,36.2,2022
Botswana,BWA,2022,18.7,2022
Brazil,BRA,2022,12.2,2022
Brunei,BRN,2022,16.4,2022
Bulgaria,BGR,2022,39.5,2022
Burkina Faso,BFA,2022,14.3,2022
Burundi,BDI,2022,11.2,2022
Cambodia,KHM,2022,17.2,2022
Cameroon,CMR,2022,6.5,2022
Canada,CAN,2022,12,2022
Cape Verde,CPV,2022,11,2022
Chad,TCD,2022,7.4,2022
Chile,CHL,2022,28.7,2022
China,CHN,2022,23.4,2022
Colombia,COL,2022,8.2,2022
Comoros,COM,2022,17.2,2022
Congo,COG,2022,15.4,2022
Costa Rica,CRI,2022,8.9,2022
Cote d'Ivoire,CIV,2022,8.8,2022
Croatia,HRV,2022,37,2022
Cuba,CUB,2022,17.4,2022
Cyprus,CYP,2022,35.6,2022
Czechia,CZE,2022,29.9,2022
Democratic Republic of Congo,COD,2022,12.2,2022
Denmark,DNK,2022,16.2,2022
Dominican Republic,DOM,2022,10.5,2022
East Timor,TLS,2022,38.7,2022
Ecuador,ECU,2022,10.2,2022
Egypt,EGY,2022,24.7,2022
El Salvador,SLV,2022,8.9,2022
Estonia,EST,2022,28.3,2022
Eswatini,SWZ,2022,9.5,2022
Ethiopia,ETH,2022,5.2,2022
Fiji,FJI,2022,27.6,2022
Finland,FIN,2022,22.3,2022
France,FRA,2022,34.6,2022
Gambia,GMB,2022,10.5,2022
Georgia,GEO,2022,31.8,2022
Germany,DEU,2022,21.3,2022
Ghana,GHA,2022,3.4,2022
Greece,GRC,2022,32.8,2022
Guatemala,GTM,2022,11.9,2022
Guinea-Bissau,GNB,2022,8.2,2022
Guyana,GUY,2022,11.1,2022
Haiti,HTI,2022,8.1,2022
Honduras,HND,2022,12.3,2022
Hungary,HUN,2022,32.2,2022
Iceland,ISL,2022,9.4,2022
India,IND,2022,24.3,2022
Indonesia,IDN,2022,38.2,2022
Iran,IRN,2022,13.3,2022
Iraq,IRQ,2022,19.2,2022
Ireland,IRL,2022,19.3,2022
Israel,ISR,2022,20.4,2022
Italy,ITA,2022,22.4,2022
Jamaica,JAM,2022,9.7,2022
Japan,JPN,2022,19.2,2022
Jordan,JOR,2022,35.6,2022
Kazakhstan,KAZ,2022,22.2,2022
Kenya,KEN,2022,10.7,2022
Kiribati,KIR,2022,39.7,2022
Kuwait,KWT,2022,19.9,2022
Kyrgyzstan,KGZ,2022,27.3,2022
Laos,LAO,2022,27.2,2022
Latvia,LVA,2022,33.9,2022
Lebanon,LBN,2022,34.3,2022
Lesotho,LSO,2022,24.3,2022
Liberia,LBR,2022,8.2,2022
Lithuania,LTU,2022,31.4,2022
Luxembourg,LUX,2022,23,2022
Madagascar,MDG,2022,26.8,2022
Malawi,MWI,2022,9.7,2022
Malaysia,MYS,2022,22,2022
Maldives,MDV,2022,26.3,2022
Mali,MLI,2022,8,2022
Malta,MLT,2022,24.7,2022
Marshall Islands,MHL,2022,29.8,2022
Mauritania,MRT,2022,9.5,2022
Mauritius,MUS,2022,20.9,2022
Mexico,MEX,2022,14.9,2022
Moldova,MDA,2022,29.7,2022
Mongolia,MNG,2022,29.5,2022
Montenegro,MNE,2022,32,2022
Morocco,MAR,2022,13,2022
Myanmar,MMR,2022,44.4,2022
Namibia,NAM,2022,14.1,2022
Nauru,NRU,2022,48.3,2022
Nepal,NPL,2022,28.3,2022
Netherlands,NLD,2022,21.3,2022
New Zealand,NZL,2022,12.2,2022
Niger,NER,2022,7.7,2022
Nigeria,NGA,2022,3.3,2022
North Korea,PRK,2022,16.5,2022
Norway,NOR,2022,14.2,2022
Oman,OMN,2022,8.4,2022
Pakistan,PAK,2022,18.9,2022
Palau,PLW,2022,17.3,2022
Panama,PAN,2022,5.2,2022
Papua New Guinea,PNG,2022,39.6,2022
Paraguay,PRY,2022,10.7,2022
Peru,PER,2022,7.1,2022
Philippines,PHL,2022,20.4,2022
Poland,POL,2022,23.6,2022
Portugal,PRT,2022,25.6,2022
Qatar,QAT,2022,12.5,2022
Romania,ROU,2022,30,2022
Russia,RUS,2022,29.2,2022
Rwanda,RWA,2022,14.3,2022
Saint Lucia,LCA,2022,13.8,2022
Samoa,WSM,2022,22.5,2022
Sao Tome and Principe,STP,2022,7.8,2022
Saudi Arabia,SAU,2022,14.9,2022
Senegal,SEN,2022,6.5,2022
Serbia,SRB,2022,39.5,2022
Seychelles,SYC,2022,20.2,2022
Sierra Leone,SLE,2022,12.9,2022
Singapore,SGP,2022,16.4,2022
Slovakia,SVK,2022,32.4,2022
Slovenia,SVN,2022,20.1,2022
Solomon Islands,SLB,2022,36.9,2022
South Africa,ZAF,2022,20.7,2022
South Korea,KOR,2022,20,2022
Spain,ESP,2022,28.4,2022
Sri Lanka,LKA,2022,19.5,2022
Sweden,SWE,2022,22.7,2022
Switzerland,CHE,2022,25.5,2022
Tanzania,TZA,2022,9.3,2022
Thailand,THA,2022,19.2,2022
Togo,TGO,2022,6.4,2022
Tonga,TON,2022,31.3,2022
Tunisia,TUN,2022,20.5,2022
Turkey,TUR,2022,30.5,2022
Turkmenistan,TKM,2022,5.6,2022
Tuvalu,TUV,2022,33.7,2022
Uganda,UGA,2022,7.5,2022
Ukraine,UKR,2022,24.9,2022
United Arab Emirates,ARE,2022,9,2022
United Kingdom,GBR,2022,14.2,2022
United States,USA,2022,24.3,2022
Uruguay,URY,2022,20.5,2022
Uzbekistan,UZB,2022,16.7,2022
Vietnam,VNM,2022,22.5,2022
Yemen,YEM,2022,21.4,2022
Zambia,ZMB,2022,14.6,2022
Zimbabwe,ZWE,2022,11.3,2022